,Qs,ElectricConsumption,SolarPVProduction
802,8.347,1.893,0.0
803,3.615,5.112,0.0
804,0.0,10.603,0.0
805,1.741,4.706,0.0
806,5.939,1.893,0.0
807,8.553,1.893,0.0
808,10.218,5.112,0.0
809,8.628,10.819,0.0
810,11.563,8.439,0.0
811,13.222,7.465,0.0
812,14.828,6.492,0.0
813,13.566,8.114,0.0
814,14.26,8.114,0.0
815,21.338,0.947,0.0
816,21.742,0.947,0.0
817,23.021,0.947,0.0
818,23.466,0.947,0.0
819,23.751,0.947,0.0
820,24.101,0.947,0.0
821,24.466,0.947,0.0
822,19.784,7.573,0.0
823,21.236,6.492,0.0
824,23.595,2.488,0.0
825,17.165,1.893,0.0
826,14.047,1.893,0.0
827,9.415,5.112,0.0
828,2.055,10.603,0.0
829,8.973,4.706,0.0
830,12.532,1.893,0.0
831,19.864,1.893,0.0
832,17.604,5.112,0.0
833,14.905,10.819,0.0
834,17.461,8.439,0.0
835,18.504,7.465,0.0
836,19.577,6.492,0.0
837,17.777,8.114,0.0
838,17.958,8.114,0.0
839,24.236,0.947,0.0
840,24.394,0.947,0.0
841,24.051,0.947,0.0
842,23.705,0.947,0.0
843,23.442,0.947,0.0
844,23.391,0.947,0.0
845,23.297,0.947,0.0
846,18.078,7.573,0.0
847,19.509,6.492,0.0
848,22.356,2.488,0.0
849,20.09,1.893,0.0
850,20.051,1.893,0.0
851,16.453,5.112,0.0
852,10.178,10.603,0.0
853,4.791,4.706,0.0
854,9.348,1.893,0.0
855,11.152,1.893,0.0
856,10.435,5.112,0.0
857,9.739,10.819,0.0
858,12.404,8.439,0.0
859,13.584,7.465,0.0
860,14.819,6.492,0.0
861,13.316,8.114,0.0
862,13.534,8.114,0.0
863,20.123,0.947,0.0
864,20.841,0.947,0.0
865,21.664,0.947,0.0
866,22.411,0.947,0.0
867,22.979,0.947,0.0
868,23.415,0.947,0.0
869,23.879,0.947,0.0
870,19.025,7.573,0.0
871,20.629,6.492,0.0
872,24.028,2.488,0.0
873,16.411,1.893,0.0
874,12.591,1.893,0.0
875,8.501,5.112,0.0
876,2.516,10.603,0.0
877,7.438,4.706,0.0
878,10.637,1.893,0.0
879,13.807,1.893,0.0
880,14.189,5.112,0.0
881,13.526,10.819,0.0
882,16.193,8.439,0.0
883,17.087,7.465,0.0
884,18.11,6.492,0.0
885,16.532,8.114,0.0
886,16.846,8.114,0.0
887,23.071,0.947,0.0
888,22.874,0.947,0.0
889,22.785,0.947,0.0
890,22.909,0.947,0.0
891,23.447,0.947,0.0
892,22.387,0.947,0.0
893,22.099,0.947,0.0
894,16.658,7.573,0.0
895,18.078,6.492,0.0
896,21.421,2.488,0.0
897,20.843,1.893,0.0
898,19.571,1.893,0.0
899,15.725,5.112,0.0
900,7.587,10.603,0.0
901,4.416,4.706,0.0
902,7.641,1.893,0.0
903,9.009,1.893,0.0
904,8.207,5.112,0.0
905,8.899,10.819,0.0
906,11.706,8.439,0.0
907,12.964,7.465,0.0
908,14.359,6.492,0.0
909,12.811,8.114,0.0
910,13.413,8.114,0.0
911,19.926,0.947,0.0
912,21.112,0.947,0.0
913,22.405,0.947,0.0
914,23.605,0.947,0.0
915,24.289,0.947,0.0
916,24.996,0.947,0.0
917,25.415,0.947,0.0
918,20.929,7.573,0.0
919,22.348,6.492,0.0
920,22.88,2.488,0.0
921,17.307,1.893,0.0
922,13.371,1.893,0.0
923,8.744,5.112,0.0
924,6.515,10.603,0.0
925,4.536,4.706,0.0
926,9.756,1.893,0.0
927,13.053,1.893,0.0
928,12.253,5.112,0.0
929,11.478,10.819,0.0
930,16.177,8.439,0.0
931,17.982,7.465,0.0
932,19.66,6.492,0.0
933,18.565,8.114,0.0
934,19.457,8.114,0.0
935,26.499,0.947,0.0
936,27.189,0.947,0.0
937,27.796,0.947,0.0
938,28.195,0.947,0.0
939,28.482,0.947,0.0
940,28.722,0.947,0.0
941,29.042,0.947,0.0
942,24.098,7.573,0.0
943,25.332,6.492,0.0
944,25.166,2.488,0.0
945,19.756,1.893,0.0
946,17.022,1.893,0.0
947,10.126,5.112,0.0
948,2.994,10.603,0.0
949,6.937,4.706,0.0
950,10.919,1.893,0.0
951,13.685,1.893,0.0
952,12.287,5.112,0.0
953,12.702,10.819,0.0
954,16.43,8.439,0.0
955,17.825,7.465,0.0
956,19.094,6.492,0.0
957,17.828,8.114,0.0
958,18.279,8.114,0.0
959,25.012,0.947,0.0
960,25.484,0.947,0.0
961,26.064,0.947,0.0
962,26.643,0.947,0.0
963,26.793,0.947,0.0
964,26.996,0.947,0.0
965,27.317,0.947,0.0
966,22.361,7.573,0.0
967,23.61,6.492,0.0
968,23.471,2.488,0.0
969,17.159,1.893,0.0
970,14.395,1.893,0.0
971,7.373,5.112,0.0
972,0.037,10.603,0.0
973,4.883,4.706,0.0
974,8.352,1.893,0.0
975,10.697,1.893,0.0
976,10.022,5.112,0.0
977,10.327,10.819,0.0
978,13.696,8.439,0.0
979,15.277,7.465,0.0
980,16.754,6.492,0.0
981,15.446,8.114,0.0
982,15.654,8.114,0.0
983,22.501,0.947,0.0
984,23.339,0.947,0.0
985,23.945,0.947,0.0
986,24.785,0.947,0.0
987,24.982,0.947,0.0
988,25.318,0.947,0.0
989,25.529,0.947,0.0
990,20.7,7.573,0.0
