,Qs,HeatStockTemperature,ElectricConsumption,SolarPVProduction
426,20.622,60.0,2.411,0.0
427,20.624,60.0,2.133,0.0
428,20.879,60.0,1.855,0.0
429,20.511,60.0,2.318,0.0
430,20.279,60.0,2.318,0.0
431,22.159,60.0,0.27,0.0
432,22.202,60.0,0.27,0.0
433,22.298,60.0,0.27,0.0
434,22.611,60.0,0.27,0.0
435,22.543,60.0,0.27,0.0
436,22.567,60.0,0.27,0.0
437,22.722,60.0,0.27,0.0
438,21.102,60.0,2.164,0.0
439,21.688,60.0,1.855,0.0
440,22.734,60.0,0.711,0.035
441,20.559,60.0,0.541,0.876
442,18.122,60.0,0.541,1.793
443,16.872,60.0,1.461,1.842
444,14.976,60.0,3.029,1.86
445,16.793,60.0,1.345,1.675
446,18.73,60.0,0.541,1.063
447,19.289,60.0,0.541,0.843
448,19.373,60.0,1.461,0.329
449,18.809,60.0,3.091,0.0
450,19.517,60.0,2.411,0.0
451,19.857,60.0,2.133,0.0
452,20.198,60.0,1.855,0.0
453,19.694,60.0,2.318,0.0
454,19.79,60.0,2.318,0.0
455,21.695,60.0,0.27,0.0
456,23.122,60.0,0.27,0.0
457,22.031,60.0,0.27,0.0
458,21.977,60.0,0.27,0.0
459,22.168,60.0,0.27,0.0
460,22.179,60.0,0.27,0.0
461,22.562,60.0,0.27,0.0
462,21.478,60.0,2.164,0.0
463,21.488,60.0,1.855,0.0
464,22.424,60.0,0.711,0.035
465,22.166,60.0,0.541,0.207
466,21.745,60.0,0.541,0.397
467,20.372,60.0,1.461,0.535
468,18.74,60.0,3.029,0.569
469,20.705,60.0,1.345,0.535
470,21.608,60.0,0.541,0.448
471,21.794,60.0,0.541,0.293
472,21.205,60.0,1.461,0.104
473,19.866,60.0,3.091,0.0
474,20.371,60.0,2.411,0.0
475,20.515,60.0,2.133,0.0
476,21.042,60.0,1.855,0.0
477,19.875,60.0,2.318,0.0
478,19.852,60.0,2.318,0.0
479,21.467,60.0,0.27,0.0
480,21.25,60.0,0.27,0.0
481,21.143,60.0,0.27,0.0
482,21.234,60.0,0.27,0.0
483,21.045,60.0,0.27,0.0
484,20.94,60.0,0.27,0.0
485,20.84,60.0,0.27,0.0
486,19.357,60.0,2.164,0.0
487,19.728,60.0,1.855,0.0
488,20.737,60.0,0.711,0.052
489,19.008,60.0,0.541,0.718
490,17.357,60.0,0.541,1.277
491,15.8,60.0,1.461,1.395
492,13.782,60.0,3.029,1.53
493,15.434,60.0,1.345,1.395
494,16.938,60.0,0.541,0.989
495,17.631,60.0,0.541,0.649
496,17.535,60.0,1.461,0.248
497,16.648,60.0,3.091,0.0
498,17.252,60.0,2.411,0.0
499,17.496,60.0,2.133,0.0
500,17.732,60.0,1.855,0.0
501,17.027,60.0,2.318,0.0
502,17.018,60.0,2.318,0.0
503,18.82,60.0,0.27,0.0
504,18.892,60.0,0.27,0.0
505,18.99,60.0,0.27,0.0
