,Qs,HeatStockTemperature,DHWStockTemperature,ElectricConsumption,SolarPVProduction
470,6.06,40.0,70.0,1.623,0.0
471,8.267,40.0,68.9,1.623,0.0
472,7.74,40.0,67.3,4.382,0.0
473,9.295,40.0,65.3,9.274,0.0
474,11.815,40.0,62.7,7.233,0.0
475,12.914,40.0,59.1,6.399,0.0
476,13.947,40.0,55.9,5.564,0.0
477,12.796,40.0,54.0,6.955,0.0
478,13.234,40.0,52.2,6.955,0.0
479,18.857,40.0,52.1,0.811,0.0
480,18.95,40.0,52.0,0.811,0.0
481,19.146,40.0,51.8,0.811,0.0
482,19.356,40.0,51.7,0.811,0.0
483,19.369,40.0,51.6,0.811,0.0
484,19.422,40.0,51.5,0.811,0.0
485,19.611,40.0,70.0,0.811,0.0
486,15.445,40.0,65.4,6.492,0.0
487,16.624,40.0,60.8,5.564,0.0
488,18.643,40.0,58.8,2.133,0.0
489,11.495,40.0,58.0,1.623,0.0
490,7.746,40.0,57.1,1.623,0.0
491,2.387,40.0,55.9,4.382,0.0
492,0.0,18.0,54.2,9.088,0.0
493,0.0,18.0,53.0,4.034,0.0
494,0.524,40.0,52.2,1.623,0.0
495,3.903,40.0,51.4,1.623,0.0
496,5.0,40.0,50.3,4.382,0.0
497,6.131,40.0,70.0,9.274,0.0
498,8.275,40.0,67.2,7.233,0.0
499,9.13,40.0,63.3,6.399,0.0
500,10.018,40.0,59.9,5.564,0.0
501,8.558,40.0,57.8,6.955,0.0
502,8.654,40.0,55.9,6.955,0.0
503,14.165,40.0,55.8,0.811,0.0
504,14.216,40.0,55.6,0.811,0.0
505,14.565,40.0,55.5,0.811,0.0
506,14.702,40.0,55.4,0.811,0.0
507,14.818,40.0,55.2,0.811,0.0
508,14.936,40.0,55.1,0.811,0.0
509,15.085,40.0,53.0,0.811,0.0
510,10.863,40.0,70.0,6.492,0.0
511,12.15,40.0,65.1,5.564,0.0
512,14.807,40.0,62.9,2.133,0.0
513,12.236,40.0,62.0,1.623,0.0
514,9.662,40.0,61.1,1.623,0.0
515,1.539,40.0,59.7,4.382,0.0
516,0.0,18.0,57.9,9.088,0.0
517,0.347,40.0,56.6,4.034,0.0
518,7.814,40.0,55.8,1.623,0.0
519,9.456,40.0,54.9,1.623,0.0
520,9.428,40.0,53.7,4.382,0.0
521,6.317,40.0,52.1,9.274,0.0
522,8.478,40.0,50.1,7.233,0.0
523,9.557,40.0,70.0,6.399,0.0
524,10.686,40.0,66.3,5.564,0.0
525,9.515,40.0,63.9,6.955,0.0
526,9.945,40.0,61.8,6.955,0.0
527,15.554,40.0,61.6,0.811,0.0
528,16.619,40.0,61.5,0.811,0.0
529,17.94,40.0,61.3,0.811,0.0
530,19.124,40.0,61.2,0.811,0.0
531,20.016,40.0,61.0,0.811,0.0
532,20.648,40.0,60.8,0.811,0.0
533,21.252,40.0,58.5,0.811,0.0
534,17.513,40.0,54.7,6.492,0.0
535,19.308,40.0,51.0,5.564,0.0
536,21.113,40.0,70.0,2.133,0.0
537,12.734,40.0,69.0,1.623,0.0
538,8.905,40.0,67.9,1.623,0.0
539,3.414,40.0,66.4,4.382,0.0
540,0.0,18.0,64.4,9.088,0.0
541,0.206,40.0,63.0,4.034,0.0
542,4.762,40.0,62.0,1.623,0.0
543,7.253,40.0,61.0,1.623,0.0
544,7.601,40.0,59.6,4.382,0.0
545,9.286,40.0,57.9,9.274,0.0
546,12.284,40.0,55.6,7.233,0.0
547,14.195,40.0,52.4,6.399,0.0
548,16.009,40.0,70.0,5.564,0.0
549,15.566,40.0,67.5,6.955,0.0
550,16.748,40.0,65.2,6.955,0.0
551,23.157,40.0,65.1,0.811,0.0
552,23.943,40.0,64.9,0.811,0.0
553,24.795,40.0,64.8,0.811,0.0
554,25.776,40.0,64.6,0.811,0.0
555,26.306,40.0,64.4,0.811,0.0
556,26.916,40.0,64.3,0.811,0.0
557,27.343,40.0,61.8,0.811,0.0
558,23.373,40.0,57.8,6.492,0.0
559,24.826,40.0,53.8,5.564,0.0
560,26.502,40.0,52.0,2.133,0.0
561,16.877,40.0,51.3,1.623,0.0
562,12.198,40.0,50.5,1.623,0.0
563,6.207,40.0,70.0,4.382,0.0
564,0.0,18.0,67.9,9.088,0.0
565,3.6,40.0,66.3,4.034,0.0
566,6.99,40.0,65.3,1.623,0.0
567,10.096,40.0,64.3,1.623,0.0
568,11.149,40.0,62.8,4.382,0.0
569,13.125,40.0,60.9,9.274,0.0
570,15.875,40.0,58.6,7.233,0.0
571,17.281,40.0,55.2,6.399,0.0
572,18.687,40.0,52.3,5.564,0.0
573,17.784,40.0,50.5,6.955,0.0
574,18.41,40.0,70.0,6.955,0.0
575,24.515,40.0,69.8,0.811,0.0
576,24.955,40.0,69.6,0.811,0.0
577,25.661,40.0,69.5,0.811,0.0
578,26.234,40.0,69.3,0.811,0.0
579,26.605,40.0,69.1,0.811,0.0
580,26.85,40.0,68.9,0.811,0.0
581,27.12,40.0,66.2,0.811,0.0
582,22.905,40.0,61.9,6.492,0.0
583,24.488,40.0,57.6,5.564,0.0
584,25.887,40.0,55.7,2.133,0.0
585,16.307,40.0,54.9,1.623,0.0
586,11.285,40.0,54.1,1.623,0.0
587,5.406,40.0,52.9,4.382,0.0
588,0.0,18.0,51.4,9.088,0.0
589,2.034,40.0,50.2,4.034,0.0
590,5.815,40.0,70.0,1.623,0.0
591,8.579,40.0,68.9,1.623,0.0
592,9.623,40.0,67.3,4.382,0.0
593,11.713,40.0,65.3,9.274,0.0
594,14.018,40.0,62.7,7.233,0.0
595,15.238,40.0,59.1,6.399,0.0
596,16.289,40.0,55.9,5.564,0.0
597,15.08,40.0,54.0,6.955,0.0
598,15.49,40.0,52.2,6.955,0.0
599,21.045,40.0,52.1,0.811,0.0
600,21.382,40.0,52.0,0.811,0.0
601,21.661,40.0,51.8,0.811,0.0
602,21.71,40.0,51.7,0.811,0.0
603,21.863,40.0,51.6,0.811,0.0
604,22.259,40.0,51.5,0.811,0.0
605,22.427,40.0,70.0,0.811,0.0
606,18.135,40.0,65.4,6.492,0.0
607,19.415,40.0,60.8,5.564,0.0
608,20.671,40.0,58.8,2.133,0.0
609,11.713,40.0,58.0,1.623,0.0
610,6.812,40.0,57.1,1.623,0.0
611,0.823,40.0,55.9,4.382,0.0
612,0.0,18.0,54.2,9.088,0.0
613,0.0,18.0,53.0,4.034,0.0
614,0.141,40.0,52.2,1.623,0.0
615,3.43,40.0,51.4,1.623,0.0
616,4.175,40.0,50.3,4.382,0.0
617,6.24,40.0,70.0,9.274,0.0
618,8.254,40.0,67.2,7.233,0.0
619,9.43,40.0,63.3,6.399,0.0
620,10.502,40.0,59.9,5.564,0.0
621,9.393,40.0,57.8,6.955,0.0
622,9.772,40.0,55.9,6.955,0.0
623,15.314,40.0,55.8,0.811,0.0
624,15.769,40.0,55.6,0.811,0.0
625,16.121,40.0,55.5,0.811,0.0
